Test Run for Data taking:
Trial, Device, Channel, Tile, IMON, RMON, VCOMP
13, 1, 13, 27, 0.270, 1.370, 0.004

 
13, 1, 14, 29, 0.290, 1.375, 0.004

 
13, 1, 15, 31, 0.310, 1.363, 0.004

 
14, 0, 0, 2, 0.350, 1.386, 0.004

 
14, 0, 1, 4, 0.380, 1.397, 0.004

 
14, 0, 2, 6, 0.360, 1.390, 0.004

 
14, 0, 3, 8, 0.450, 1.388, 0.004

 
14, 0, 4, 10, 0.360, 1.383, 0.004

 
14, 0, 5, 12, 0.400, 1.389, 0.004

 
14, 0, 6, 14, 0.350, 1.380, 0.004

 
14, 0, 7, 16, 0.400, 1.391, 0.004

 
14, 0, 8, 18, 0.370, 1.389, 0.004

 
14, 0, 9, 20, 0.350, 1.388, 0.004

 
14, 0, 10, 22, 0.380, 1.380, 0.004

 
14, 0, 11, 24, 0.300, 1.390, 0.004

 
14, 0, 12, 26, 0.400, 1.379, 0.004

 
14, 0, 13, 28, 0.320, 1.392, 0.004

 
14, 0, 14, 30, 0.340, 1.394, 0.004

 
14, 0, 15, 32, 4.300, 1.352, 0.004

 
14, 1, 0, 1, 0.430, 1.369, 0.004

 
14, 1, 1, 3, 0.130, 1.373, 0.004

 
14, 1, 2, 5, 0.430, 1.374, 0.004

 
14, 1, 3, 7, 0.400, 1.349, 0.004

 
14, 1, 4, 9, 0.420, 1.375, 0.004

 
14, 1, 5, 11, 0.460, 1.355, 0.004

 
14, 1, 6, 13, 0.410, 1.374, 0.004

 
14, 1, 7, 15, 0.390, 1.373, 0.004

 
14, 1, 8, 17, 0.440, 1.363, 0.004

 
